FID,Shape ,AREA,lake_id,Jurisdicti,PERIM,X_CENTER,Y_CENTER,HA,Shape_Leng,Shape_Area,Lat,Lon
0,Polygon,1762.867,72547,YOSE,230.962236,273203.2686,4229552.585,0.176289,230.962236,1762.89065,38.18537438,-119.5895076
1,Polygon,1411.328,72413,YOSE,145.458413,272543.0199,4229242.071,0.141135,145.458413,1411.346694,38.18241227,-119.5969397
2,Polygon,250314.2,70660,YOSE,3245.498881,273198.0661,4228553.56,25.0318,3245.498881,250317.5791,38.17637845,-119.5892483
3,Polygon,6652.859,70095,YOSE,473.990957,272560.5418,4228114.498,0.665294,473.990957,6652.944758,38.17226476,-119.5963793
4,Polygon,2302.109,72691,YOSE,222.479154,273948.1211,4228106.668,0.230214,222.479154,2302.142119,38.17254331,-119.5805515
5,Polygon,223.4922,71089,YOSE,56.754099,273695.3523,4228065.563,0.02235,56.754099,223.495108,38.1721098,-119.5834213
6,Polygon,16473.68,70346,YOSE,836.662901,272910.9891,4227990.449,1.64739,836.662901,16473.90045,38.17123626,-119.5923429
7,Polygon,928.6875,72135,YOSE,137.557805,273757.0182,4228030.678,0.09287,137.557805,928.698484,38.1718112,-119.5827069
8,Polygon,121.2422,71007,YOSE,43.672383,273733.4071,4228041.912,0.012124,43.672383,121.244033,38.17190641,-119.5829797
9,Polygon,26849.59,70458,YOSE,692.6923,273431.3219,4227884.399,2.685,692.6923,26849.96526,38.17041238,-119.5863749
10,Polygon,602.0469,71782,YOSE,95.445276,273559.3499,4227922.642,0.060206,95.445276,602.055131,38.17078886,-119.5849269
11,Polygon,2495.82,72734,YOSE,261.388711,272665.8067,4227872.722,0.249585,261.388711,2495.854956,38.17011451,-119.5951015
12,Polygon,1184.156,72298,YOSE,132.840526,272763.9911,4227863.238,0.118417,132.840526,1184.172411,38.17005388,-119.5939788
13,Polygon,704.5156,71909,YOSE,119.016993,272577.0987,4227812.406,0.070453,119.016993,704.527309,38.16954909,-119.5960939
14,Polygon,2781.359,72799,YOSE,219.847135,271266.1098,4227630.604,0.27814,219.847135,2781.395317,38.16758059,-119.6109865
15,Polygon,1578.055,72475,YOSE,153.598102,273673.7091,4227576.565,0.157808,153.598102,1578.078136,38.1677017,-119.5835126
16,Polygon,264.8516,71153,YOSE,60.545368,273775.1825,4227302.486,0.026485,60.545368,264.853887,38.1652595,-119.5822683
17,Polygon,33387.95,70677,YOSE,667.224053,274765.2063,4225820.105,3.33884,667.224053,33388.44617,38.15216066,-119.5705091
18,Polygon,532.4922,71672,YOSE,89.326064,271778.2606,4225830.364,0.05325,89.326064,532.498825,38.15150226,-119.6045689
19,Polygon,300.8672,71239,YOSE,70.93211,274582.1542,4225710.72,0.030087,70.93211,300.871509,38.15113008,-119.5725617
20,Polygon,513.2344,71633,YOSE,86.689943,271772.3025,4225699.85,0.051324,86.689943,513.243216,38.15032569,-119.604595
21,Polygon,2613.039,73057,YOSE,213.855844,274445.9084,4225624.583,0.261308,213.855844,2613.076919,38.15032049,-119.5740878
22,Polygon,285.4375,71199,YOSE,64.528257,274394.2309,4225580.151,0.028544,64.528257,285.441298,38.14990752,-119.574663
23,Polygon,259039.9,70662,YOSE,2348.128177,275488.1347,4224863.186,25.9044,2348.128177,259043.8809,38.14372513,-119.5619647
24,Polygon,2729.922,72789,YOSE,248.364207,281290.2405,4225191.144,0.273001,248.364207,2730.011393,38.1481032,-119.4959148
25,Polygon,339.1406,71313,YOSE,70.064816,267801.211,4225105.546,0.033914,70.064816,339.142878,38.14396177,-119.6496761
26,Polygon,136.4375,71011,YOSE,50.260503,267732.4853,4225105.392,0.013644,50.260503,136.439661,38.14394269,-119.6504595
27,Polygon,15022.76,70323,YOSE,535.161077,268663.4169,4224972.79,1.50229,535.161077,15022.94222,38.14298802,-119.6398038
28,Polygon,199.9375,71065,YOSE,56.229541,268505.204,4224989.157,0.019994,56.229541,199.9406,38.1430948,-119.6416128
29,Polygon,281.6953,71189,YOSE,68.188939,268383.9401,4224962.847,0.02817,68.188939,281.697408,38.14282681,-119.6429866
30,Polygon,10302.05,70226,YOSE,570.172522,268835.0334,4224840.774,1.03022,570.172522,10302.17506,38.14184345,-119.6378046
31,Polygon,225.5391,71091,YOSE,57.838229,268931.2266,4224804.653,0.022554,57.838229,225.54235,38.14154288,-119.6366963
32,Polygon,589.4453,71766,YOSE,109.703577,270909.6181,4224792.212,0.058945,109.703577,589.453956,38.14193531,-119.6141389
33,Polygon,662.0547,71860,YOSE,95.928816,270734.2344,4224734.534,0.066207,95.928816,662.066044,38.14137147,-119.6161197
34,Polygon,228404.6,70658,YOSE,2439.723679,267131.1931,4224297.919,22.8407,2439.723679,228407.1673,38.13651806,-119.6570504
35,Polygon,3273.82,72871,YOSE,401.225089,266202.38,4224595.293,0.327386,401.225089,3273.8575,38.13895516,-119.6677352
